Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
Legislators,,,,30748,65769,144465,25061,53680,98750,24640,76008,142341,44335,96129,155370,48293,103029,168710,26638,89651,143890,30085,70271,147964,,,,24173,51518,142704,,,,27452,68237,129479
Senior government managers and officials,40.06,70.05,103.37,14.6,52.2,76.92,21.95,47.28,62.32,15,43.59,84.62,15,35.71,87.18,,,,15,43.59,84.62,28,55,93.41,15,43.59,84.62,17.54,38.46,81.25,,,,27.47,42.31,72.77
"Senior managers - financial, communications and other business services",30,68.4,97.44,31.25,64.1,96.15,,,,,,,19.85,42.95,76.92,,,,19.63,41.18,79.49,28.5,57.69,88.94,,,,32,57.44,86.05,,,,25.64,42.75,96.15
"Senior managers - health, education, social and community services and membership organizations",22.92,49.93,103.41,21.76,45.96,88,21.67,39.68,74.27,,,,22.35,41.9,81.91,,,,21.65,41.96,86.42,21.36,48.85,107.81,,,,26.57,47.08,101.39,,,,17.87,34.94,71.63
"Senior managers - trade, broadcasting and other services, n.e.c.",15,46.04,150.76,14.6,36.15,124.19,,,,11.7,28.91,84.51,,,,,,,12.55,35.91,111.11,14.25,46.92,172.82,,,,12.96,36.96,124.16,,,,19.25,36.06,82.96
"Senior managers - construction, transportation, production and utilities",27.61,58.48,106.9,14.6,49.32,154.74,13.07,46.24,140.4,14.73,34.95,81.68,,,,,,,12.55,48.82,147.86,14.25,51.15,161.54,,,,13.57,39.74,154.8,,,,13.1,35.88,121.97
Financial managers,32,52.46,88.94,25,44.23,67.31,22,45.67,65.87,26.44,44.1,57.69,26.44,43.48,72.12,30.39,54.11,75.11,28,46.7,61.54,26.32,49.04,71,25.35,38.46,66.67,35.1,52.88,72.31,,,,26.92,41.76,67.87
Human resources managers,33.65,55.29,79.33,24.04,43.27,74.52,21.15,42.86,62.5,31.32,43.27,72.12,28.85,44.97,72,,,,28.85,42.05,57.44,26.07,45.67,69.4,28.85,44.97,72,24.2,44.62,78.8,,,,25.71,50,76.92
Purchasing managers,27.5,55.29,86.54,20.19,40.43,64.9,23.17,37.66,70.61,20.57,34.54,70.09,25.08,42.73,97.27,,,,22.79,37.63,57.09,24.05,41.58,63.07,,,,20.41,45.24,70.53,,,,15.82,40.11,60.1
Other administrative services managers,19.73,42.43,99.06,25.64,35,50,18.71,34.99,68.14,23.36,33.11,57.69,23.36,33.11,57.69,,,,23.36,33.11,57.69,22,33.65,63.77,,,,19.65,37.58,68.77,,,,22.25,40,54.95
"Insurance, real estate and financial brokerage managers",23.08,54.44,96.15,20.51,43.27,80.13,32.69,46.15,63.69,,,,21.63,43.96,58.24,,,,21.63,43.96,58.24,27.24,49.52,75.32,,,,34.62,49.52,68.27,,,,32.97,46.7,74.36
"Banking, credit and other investment managers",24.04,48.08,84.13,24.04,41.54,54.57,30.77,41.54,67.99,20,35.9,46.7,24,40.87,50,,,,26.44,40.87,57.95,28.85,47.18,68.49,,,,30,45.94,72,,,,26.37,40.25,65.93
"Advertising, marketing and public relations managers",30.77,40.87,72.12,23.08,37.69,76.92,,,,,,,,,,,,,,,,24.48,43.27,70.19,,,,31.25,46.15,68.25,,,,23.39,38.46,60.44
Other business services managers,28.58,53.99,90.26,18.3,33.65,86.54,,,,16.83,37.5,55.29,,,,,,,16.83,38.46,55.29,21.67,35,60.1,16.83,37.5,55.29,,,,,,,24.73,36.4,72.12
Telecommunication carriers managers,28.85,37.5,41.03,24,37.44,57.44,,,,24.28,41.03,56.41,,,,,,,24.28,41.03,56.41,26,44.1,85.23,,,,35.18,54.52,64.1,,,,15,38.46,56.66
Postal and courier services managers,,,,14.6,28.76,46.74,,,,,,,,,,,,,,,,14.25,34.62,65.43,,,,,,,,,,13.1,35.55,52.37
Engineering managers,36.06,57.69,84,31.25,52.88,81.73,23.38,51.28,76.92,23,48.08,82.05,23,48.08,82.05,,,,23,48.08,82.05,30.05,51.28,75,22,48.7,60.1,40.87,60,80.77,,,,27.78,49,76.92
Architecture and science managers,20.85,57.69,101.92,28.85,44.62,69.71,,,,32,45,63.57,32,45,63.57,,,,32,45,63.57,34.52,49.04,67.31,,,,,,,,,,28.85,52.2,76.92
Computer and information systems managers,40.38,56.98,91.35,26.44,45.67,72.12,36.92,48.56,72.12,21.63,40.45,72.12,32.97,47.25,65,,,,33.65,41.54,72.12,33.65,51.28,70.19,18,42.46,50.76,37.5,51.92,75.05,,,,27.8,52.88,72.12
Managers in health care,28.85,51.55,78.37,19.89,45.19,59.5,23.82,45,62,21,43,54.87,25,48,57.69,,,,25,43.27,56.41,24.04,43.96,64.17,20,41.03,48,36.06,53,60.51,,,,22.86,43.27,61.94
Government managers - health and social policy development and program administration,23.3,55,69.55,31.34,43.83,57.2,,,,,,,,,,,,,,,,29.23,56.92,71.79,,,,38.46,49.74,69.71,,,,32.29,50.98,69.34
"Government managers - economic analysis, policy development and program administration",44.29,57.06,84.03,21.63,45.13,64.01,39.7,57.69,64.1,34.67,48.72,55.63,37.5,51.1,60.51,,,,37.5,51.1,67.18,28.85,53.85,66.67,,,,31.22,47.84,78.19,,,,28.56,49.25,69.59
Government managers - education policy development and program administration,,,,,,,,,,,,,,,,,,,,,,24.26,45.42,67.42,,,,,,,,,,23.93,41.01,61.73
Other managers in public administration,29.6,52.98,74.52,35.71,51.89,69.44,30,47.8,70,23,36.92,57.44,35.13,49.73,69.23,,,,14.96,42.31,58.72,36,54.87,69.23,,,,34.62,45.67,60.1,,,,34.48,54.87,71.79
Administrators - post-secondary education and vocational training,26.44,42.56,78.85,28.21,48.08,72.12,20.77,45,60.44,23.08,48.97,75.27,23.08,48.97,75.27,,,,23.08,48.97,75.27,29.5,53.85,76.82,,,,24.18,47.82,64.1,,,,38.46,54.95,68.71
School principals and administrators of elementary and secondary education,33.33,52.88,67.31,28.85,46.63,61.06,34.62,47.6,66.24,31.25,45.41,50.84,38.46,48.56,74.62,46.71,56.38,66.88,35.71,47.12,56.41,30.77,51.79,66.67,27.14,41.03,52.31,31.73,46.63,64.1,,,,33.57,46.15,59.13
"Managers in social, community and correctional services",20,42,62.5,21.15,33.33,57.69,22.56,33.65,57.68,16.83,28,48.21,18,28.5,50.1,25.5,47.79,78.89,17.94,26,50,23.08,38.46,57.69,21,28.5,41.03,20.77,30.29,57.69,26.28,32.58,41.72,20.6,31.25,50.94
Commissioned police officers,,,,,,,,,,,,,,,,,,,,,,31.05,63.11,86.54,,,,,,,,,,51.68,54.95,90.81
Fire chiefs and senior firefighting officers,27.81,57.7,74.95,34.5,57.87,79.55,,,,,,,,,,,,,,,,29.94,54.56,79.04,,,,,,,,,,27.29,45.92,68.68
Commissioned officers of the Canadian Forces,29.62,41.35,58.17,24.53,42.34,59.1,28.98,43.29,57.19,22.33,39.38,54.52,,,,,,,27.73,41.68,56.57,28.96,47.43,60.41,,,,21.13,28.21,53.47,,,,23.9,39.83,54.37
"Library, archive, museum and art gallery managers",19.23,34.85,60.95,14.86,31.01,59.13,,,,,,,,,,,,,18,28.57,51.28,17.39,38.75,58.06,,,,,,,,,,32.05,44,67.5
"Managers - publishing, motion pictures, broadcasting and performing arts",21.15,34.07,76.92,18.36,31.5,52.45,11.9,31.76,52.4,,,,,,,,,,,,,24.04,33.33,62.5,,,,,,,,,,16.03,33.05,61.54
"Recreation, sports and fitness program and service directors",15,29.94,56.49,,,,30.29,33.65,96.15,20,25.48,57.42,,,,,,,20,25.48,57.42,,,,20,25.48,57.42,17,33.65,55.29,,,,,,
Corporate sales managers,23.74,48.47,93.83,23.08,50.48,96.15,34.8,48.08,67.31,29.62,43.75,63.56,29.62,43.75,63.56,,,,29.62,43.75,63.56,23.08,44.62,69.23,29.62,43.75,63.56,23.49,45.78,78.95,,,,20,47.25,65.87
Retail and wholesale trade managers,18.65,36.92,64.18,17.31,29.33,58.65,16,29.81,60.1,15.5,27.5,48.08,17.92,26.5,46.15,13.46,32.84,65.63,13,28.85,52.88,16.83,36.06,67.31,15.71,26.67,45.67,18,34.62,57.69,13.71,25.01,66.4,16,30.98,57.69
Restaurant and food service managers,16,21.63,38.46,15,25,38.46,12.55,15.87,31.03,13,20,30.5,12.15,19.06,44.87,,,,13.25,15,27.03,15,20.67,48.08,14,17.5,40,14.5,19.5,34.62,,,,14,20.19,36.4
Accommodation service managers,17.31,27.88,80.77,15.38,28.85,60.17,12.98,31,63.58,,,,17,27,47.01,,,,,,,18,28,61.54,,,,17.69,27.24,43.41,,,,,,
"Managers in customer and personal services, n.e.c.",18,33.65,62.5,14.6,23.2,43.75,16,24.04,44.71,16,28.45,57.69,16,28.45,57.69,,,,,,,17,33.65,62.5,,,,11.45,22.29,42.79,,,,15,25,47.5
Construction managers,26.92,43.71,63.46,22.5,40.6,62.5,,,,19.23,31.25,53.45,27,38.46,62.5,,,,20,34.19,55.29,25,41.03,68,,,,28,40.87,65.81,,,,23,36,62.5
Home building and renovation managers,15,27.28,55.88,15,21.5,30,11.9,18.95,36.55,11.7,19.86,39.77,,,,,,,,,,14.5,20,30,,,,,,,,,,16,21,30
Facility operation and maintenance managers,23.75,41.69,66.67,20,33.08,53.85,16,33.46,48.72,21,36,60.1,21,35.77,57.69,,,,28.85,36.5,43.59,19,32.31,53.85,21.23,36,57.69,22,38.46,67.69,,,,24.48,38.46,54.95
Managers in transportation,20,44.23,64.9,28.85,38.46,62.5,25,38.46,62.5,21.7,37.5,61.54,25.64,30,49.45,,,,21.7,37.5,61.54,25.48,38.46,69.51,21.7,37.5,61.54,25.82,40.87,95.38,,,,27,45.67,65.38
Managers in natural resources production and fishing,33.65,67.5,96.15,30.61,51.08,87.5,,,,,,,26.22,41.35,76.92,,,,,,,29,51.11,72.12,,,,37.8,58,71.63,,,,17.06,47.91,108.35
Managers in agriculture,18.46,20,30,,,,16.25,22,38.98,14.77,17,24.79,,,,,,,13.36,20,45.05,14.25,24,96.15,13.36,20,45.05,13,26,35,,,,13.1,17.5,43.27
Managers in horticulture,22,26.83,38.98,14.6,15.61,25,,,,,,,,,,,,,,,,14.25,17.55,27.11,,,,,,,,,,19.45,21.63,26.92
Managers in aquaculture,,,,14.6,31.58,47.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing managers,26.44,48.08,72.12,21.63,38.46,67.31,23,34.62,61,25,43.27,60.1,22.44,32.5,69.71,,,,25.48,38.46,54.95,26.92,43.27,67.31,18,31,57.69,30,45.67,72.12,,,,22,39.45,65.93
Utilities managers,37,64.9,81.73,45.54,61.3,75.45,26.8,51.15,91.82,27.18,45.67,78,,,,,,,27.18,38.46,78,43.27,64.9,84.13,,,,28.85,69.93,91.35,,,,18.72,46.92,70.93
Financial auditors and accountants,22.05,41.21,67.31,18.75,28.85,45.67,19.99,30.53,54.4,19.23,30.74,52.31,19.23,31.25,48.08,27.43,51.37,90.98,21.37,35.06,53.85,22.5,35.71,60.51,16.35,30.26,48.08,20.51,36.92,57.69,,,,20.51,33.65,53.96
Financial and investment analysts,28.85,45.49,66.35,26.41,38.46,57.69,23.9,32.97,58.97,18.13,30.77,58.33,,,,,,,20.51,26.67,41.03,22.36,35.38,53.33,17.09,29,39.62,28.82,42.07,61.54,,,,23.59,32.97,52.82
"Securities agents, investment dealers and brokers",25.64,46.15,61.19,,,,,,,,,,,,,,,,,,,20.67,29.74,56.92,,,,27.57,38.46,52.88,,,,21.37,28.75,45.05
Other financial officers,23.08,40.87,61.78,19.23,35.35,54.95,19,31.19,48.72,16.83,25.96,43.27,23.08,29.23,75,,,,20,26.44,48.08,21.03,32.05,57.69,17.44,25,46.15,20.19,33.33,51.28,,,,20,29,50.73
Human resources professionals,25.97,43.59,61.54,21,37.76,55,20,31.25,49.01,21.33,30.77,47.36,14,28.85,51.28,,,,19.23,33.05,44.1,19.5,35.9,55.47,21,33.65,51.28,24.72,38.46,55.29,,,,22,35,53.85
Professional occupations in business management consulting,27.5,44.23,65,23.08,36.06,56.25,22.12,34.62,51.7,21.33,32,43.08,28.21,35,45.67,,,,21.79,34.62,53.85,20,38.46,61.54,17.95,30.77,42.5,20,39.42,51.29,,,,20.67,32.97,51.28
"Professional occupations in advertising, marketing and public relations",19,31.25,57.69,17.31,28.57,46,15.45,28.49,48.08,15,25.64,41.83,13.13,26.15,43.96,,,,16,27.18,46.7,17,31.25,52.88,16,27.18,46.7,15,31.49,45.67,,,,19,31.25,49.23
"Supervisors, general office and administrative support workers",21.75,30.79,46.63,19.23,35.71,44.99,17,28.72,37.95,20,28,34.25,21.52,32,38.97,,,,19.23,26,48.08,16,25.92,46.15,15.85,31,36.92,16.5,28.25,48.08,,,,18.67,26.6,37.02
"Supervisors, finance and insurance office workers",21.63,36.78,51.87,17.09,26.44,40.87,16.25,28.95,43.51,18,25.71,38,15,29.74,42,,,,15.5,24.73,36.56,19.25,31.79,51.92,17.5,28.21,35.9,18,30.61,50,,,,17,27.88,45
"Supervisors, library, correspondence and related information workers",,,,,,,,,,,,,,,,,,,,,,16.5,30.17,50.02,,,,,,,,,,14.48,25.09,42.1
"Supervisors, mail and message distribution occupations",17.63,28.76,42.1,18.76,30.7,42.64,18,24.14,45.64,17.79,25.25,33,15,25.86,28,,,,17.86,25.62,37.5,18.36,28.1,33.64,25,26,35,20,25.4,33.5,,,,17.98,25,33
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",18,28.41,45,17,24.04,40.38,15,23.45,36.06,15.38,21.63,33.65,16.4,23.63,35,,,,15,23,41.35,16.1,25,37.9,16,23.59,31.25,17.31,25.38,38.46,,,,15,22.6,45.44
Administrative officers,18.5,27,44.71,16,25,37.5,15,22.53,36,14.94,20.3,34.44,17,24,37.09,21,30.08,41.38,14.42,21,34.33,16,25,39.42,14,21,31,16,23.75,39.42,21.11,28.9,41.05,18.99,26,38.46
Executive assistants,17,29.81,43.27,20.67,27,40.87,16.35,25,36.81,16.2,25,37.5,14,24.04,26.37,,,,20.53,28.85,37.64,20,29.67,40,19.65,29.56,42.56,24,30.57,40.84,,,,19,29,42.86
Human resources and recruitment officers,20,31.25,56,18,28.85,43.27,13,24.28,38.46,17,24.04,50,15,25.53,49.04,,,,14.5,23.59,38.46,18,28.85,41,15.5,24.04,43.79,20.67,29.23,44.71,25.39,27.87,43.14,17,28,40
Property administrators,18,28.85,51.28,14.6,22.95,38.71,14.8,23.54,39.84,11.7,24.89,38.46,20,27,38.46,26.81,44.52,63.57,12.55,24.04,38.46,15,24.04,40.11,,,,13.66,23.08,39.2,,,,17.5,25,36.4
Purchasing agents and officers,21,36.06,56.41,22.6,29.23,49.52,17,29,40.51,16.45,25.33,45.48,15,30,47.6,25.22,47.97,59.49,19.23,26,45.67,18.13,30,46.15,15.38,24.4,37,20.19,32.21,47.12,,,,18,28.72,47.36
Conference and event planners,15.25,21.63,40.38,17,26,36.92,13.5,28.85,32.05,12.5,22,30,12.43,23.63,36,,,,12.55,21,29.12,15.16,24.52,35,,,,17.04,29,42.31,,,,17,20.88,36.81
Court officers and justices of the peace,27.2,37.55,54.07,24.1,28,41.21,,,,,,,18.46,27.62,46,,,,18.46,27.62,46,17.79,34.01,46.15,,,,,,,,,,21,28.21,45
"Employment insurance, immigration, border services and revenue officers",22.89,29.64,46.67,23,30,42.05,22,29.23,38.46,24.52,30.77,44.1,25,30.26,38.33,,,,21.63,30,41.35,24,32.5,46.15,21,29,39.87,25.64,33.85,44.62,,,,20,29.4,42
Administrative assistants,17.31,25.55,35.16,15.5,22.05,31.79,14,21.78,31.45,14,20,29,14.95,23.32,32,20,28.76,38.08,14,21,27.95,15,23.08,33.8,15,23,29.23,15.94,22.53,32.05,20,27.88,33.78,15,21.87,30
Legal administrative assistants,19,26.92,39.88,16.83,23.08,35.16,15,20,32.97,14.77,19.23,30,15,21.43,28.13,,,,15,20,24,15,22,35.71,14.77,20,28.13,17.6,24,33,,,,17,23,34.86
Medical administrative assistants,18.75,25.98,33.33,17,23,34.62,16,21.05,26.67,16.23,21.7,25.03,13.19,23,26.47,,,,14.9,20.51,23.84,15.38,22,32,16,22.83,24.85,18,21.98,32.97,,,,16,20.89,25
"Court reporters, medical transcriptionists and related occupations",23.52,33.17,34.3,15,22,29.89,17,21.07,24,11.7,26.44,29,,,,,,,18,22,28.4,14.25,21,27.6,12.85,22,28.6,20.54,23,28,,,,13.86,22.02,29.07
Health information management occupations,25.86,37.29,49.89,21.35,32.04,44.37,,,,,,,,,,,,,,,,21.9,27.41,33,,,,20,26.8,38,,,,18.51,27.11,32.16
Records management technicians,19.63,27.66,60.61,18.15,24.18,33.75,,,,19,28.8,33,19,28.8,33,,,,19,28.8,33,16.83,30,39.06,,,,,,,,,,20,25,31
Statistical officers and related research support occupations,15.88,31.22,69.63,16.89,27.5,42.55,,,,,,,,,,,,,,,,19.66,29.61,43.12,,,,,,,,,,17.43,29.39,49.59
Accounting technicians and bookkeepers,17,25.48,42,15.38,24.4,36.54,14.5,21.25,34.41,13.39,20,30.22,15,23,35.9,24.5,42.82,62.36,12.55,20,26.88,15.25,23,37.98,14,19.23,28.21,16,24,36,,,,15,21.25,31.75
Insurance adjusters and claims examiners,22.42,32.06,57.44,21,30.77,44,17,24.8,42.38,14.15,23.56,38.46,,,,,,,17.5,28.21,38.46,19.36,30,45.56,16.41,26,41.03,20.51,31,43.27,,,,20,27.47,41
Insurance underwriters,21.42,27.94,41.89,20.19,32,46,18,26.67,37.5,18,23.56,40,17.23,23.08,38.19,,,,16.01,20,35,20.53,29.74,45.67,12.85,22,32.69,13.94,30,40.18,,,,20.93,29.23,45
"Assessors, valuators and appraisers",31.04,38.98,58.26,14.6,32.45,54.65,13.77,28.28,47.57,14.52,31.25,36.14,14,31.25,49.45,,,,14,31.8,49.45,25,35.71,47.18,,,,26,34.62,46.15,,,,13.1,21.75,37
"Customs, ship and other brokers",,,,14.6,24.32,48.35,,,,,,,,,,,,,,,,14.58,22.94,39.58,,,,,,,,,,14.74,24.87,43.42
General office support workers,15.38,24.99,37.02,15,22,32.82,13,20,29.34,11.75,18.95,27,13,22,28.75,19.49,29,37,13.57,20,27.4,14.25,20,30,13.39,22.52,26.67,15,22,30,18,25.5,33,13.1,20,27.92
Receptionists,15,20,28,14.6,19,25,12,16,22.04,12,17.95,25.13,12.15,19.27,23.34,16,22,31.25,12.98,17,22,14.25,17.79,25.26,12.85,17.52,23.34,13,18.5,24,16,21,30.07,13.1,17,23
Personnel clerks,19.03,27.88,49.32,17.5,23.9,29.1,14,22.76,31.25,21,25,29.23,,,,,,,17.31,25,29.23,16.35,24.4,27.69,,,,17.69,24.8,42.05,,,,19.89,26.67,33.67
Court clerks,24.59,30.98,34.06,22.52,26.17,29.92,,,,,,,,,,,,,,,,20,27,41,,,,,,,,,,,,
Data entry clerks,15,22,30,15,20,30,14,20,30.26,14.42,21,27.47,12.15,18.65,24.1,,,,13.75,18.65,25.64,14.25,20,31.25,14.53,20,24.1,14,21,25.96,,,,13.5,18.75,25.84
Desktop publishing operators and related occupations,15,25.38,37.02,15,38,58,,,,,,,,,,,,,,,,15,19.45,31.23,,,,,,,,,,14,19.62,26.81
Accounting and related clerks,16.85,24.04,35,17,23,30.77,15,21.12,28.92,14,19.81,29,15.5,21,30.39,20,29,37.96,14.13,20,28.4,15.5,21.63,33.33,14,22.29,30,15,22.36,31.25,20,28.95,38.06,15,20.6,30.22
Payroll clerks,19.23,27.42,39.42,17,25,35,17,24.04,33.38,16.5,25.13,32.75,16.43,24.04,32.21,,,,18,24.17,33.33,16.75,25,35.58,15,23,29,18,25.24,32.52,,,,17,26,34.14
"Banking, insurance and other financial clerks",17.86,27.02,33,15,23.08,32.82,13.5,19.62,28,14.42,23,30,,,,,,,14.25,19.49,23.08,15.38,20.51,29.75,12.85,17.95,24,16,23.5,30.22,,,,16,23,28.72
Collectors,15,25.55,34.25,16,24.3,30,13.43,20.78,30.31,12.5,17.5,26.76,13,23,32.31,,,,13,23,32.1,14.25,23,35.9,,,,22.62,26.25,32,,,,16,22,29.05
Library assistants and clerks,15,20.66,36,14.6,22.97,25.68,12.91,17.6,27,17.05,20.33,26.44,,,,,,,12.55,19.23,26,14.25,21.54,29.5,,,,12.79,15.5,27.27,,,,15.32,21,27
"Correspondence, publication and regulatory clerks",15,26.67,50,18,26.33,34.5,15.52,24,29.67,12.02,20,30,,,,,,,12.55,20.63,26.52,16.21,28.2,35,12.85,21,29.8,15,24.89,36.5,,,,16.5,25,35.9
Survey interviewers and statistical clerks,,,,14.6,19.6,35,11.9,19,33,13.25,15,27,,,,,,,12.55,17.36,23.16,14.25,20,32,,,,,,,,,,13.1,19.45,34
"Mail, postal and related workers",16.25,22.33,28,14.6,23.08,27.16,14,21,27,15,23,26,12.15,23.97,27,,,,12.55,22.81,28,14.5,22,27.59,16,23,26.87,13,22.84,26.87,,,,13.62,21,28
Letter carriers,20,26.58,38.46,20,23,27.23,19.86,26.5,27.17,17.44,25.24,27.05,16.35,23.32,37.5,,,,19.92,26.5,28.33,19.86,26,28.85,18,23,30,19.46,26,33.72,,,,19,26.6,28.85
"Couriers, messengers and door-to-door distributors",15,25.96,44.44,14.6,16,29.16,11.9,15.33,29.34,11.7,20,30,12.15,20,29.5,,,,12.55,19.64,29.79,14.25,15,28,,,,11.45,17.46,30,,,,13.1,17.5,22
Shippers and receivers,15,19.47,28,14.6,19.5,30.39,13.75,18,25.5,12,15.6,21.6,14.75,18,26.5,,,,12.55,16,28.74,14.25,18.11,25.62,12.85,17,25.48,13.81,19.71,28.9,,,,13.1,17,25
Storekeepers and partspersons,19,27.88,43.27,14.6,19.23,35,12.5,24.5,30.3,13.6,20,24.22,16.03,21.75,27.77,,,,14,21.75,35,14.75,19.86,32.47,14,21.75,35,17,22,31.25,,,,16,21.7,33.44
Production logistics co-ordinators,20.19,30.38,49.52,17,25,40,16,22,30.77,17.1,22.6,26,,,,,,,17.15,23.5,37.93,16.83,26.44,34.18,,,,20.19,23.17,33.65,,,,18.6,21.89,34.36
Purchasing and inventory control workers,15,22,32.97,14.6,20,28,13,19.23,25,12.5,16,23,12.15,16.61,26.44,,,,12.55,18.75,26.44,14.25,18,32.6,12.85,19.75,27.18,16,20.54,37.44,,,,13.1,17,26.67
Dispatchers,18,29,44.87,15,26,37.5,13,20.19,41.35,12,20,28,13,21,32,,,,12.55,19.9,28.85,14.25,23,36.34,12.85,20.81,27,15.83,23.07,34.6,,,,15.5,22.24,30.99
Transportation route and crew schedulers,19.23,26.44,42.03,,,,13.84,25,42.21,14,22.05,32,,,,,,,14,22.05,32,16,24.04,33,,,,,,,,,,19,23.5,34.62
Physicists and astronomers,,,,29.77,52.23,75.29,,,,,,,,,,,,,,,,25.83,52.3,81.88,,,,,,,,,,,,
Chemists,24.04,40.96,53.85,18,33.71,59.92,19.71,36.06,47.18,25.96,34.44,44.62,,,,,,,25.96,34.44,44.62,22.36,35.9,51.28,25.96,34.44,44.62,,,,,,,23,31.25,48.08
Geoscientists and oceanographers,28.85,42.07,72,30.53,52.4,64.9,23,43.97,51.23,,,,,,,,,,,,,30.77,44.62,64.1,,,,35.5,45.19,64.9,,,,21.79,39.66,86.81
Meteorologists and climatologists,23.81,48.48,57.82,,,,,,,,,,,,,,,,,,,31.06,45.23,58.13,,,,,,,,,,20.89,47.25,61.31
Other professional occupations in physical sciences,30.06,52.59,76.71,,,,,,,,,,,,,,,,,,,33.52,48.72,73.85,,,,,,,,,,,,
Biologists and related scientists,22.5,38.04,58.5,23.08,38.46,52.8,14,30.77,57.09,20,31.25,48.82,30.23,38,67.31,,,,18.96,37.33,56.41,26.71,41.03,60.36,20,35,56.41,27.4,37.36,76,,,,20,34.62,51.28
Forestry professionals,31.47,45.85,62.75,30.29,39.56,46.7,,,,16.54,33.65,72.82,,,,,,,16.54,33.65,72.82,23.31,39.03,58.25,,,,,,,,,,22.83,39.56,48.08
"Agricultural representatives, consultants and specialists",26.44,36.54,43.27,14.6,30.93,53.63,20,32.69,45.13,,,,,,,,,,,,,14.25,27.73,49.01,,,,22.15,31.73,52.88,,,,17,28.57,42.62
Civil engineers,28.85,47.34,72.12,30.22,44.23,64.42,28.85,40.72,61.06,23,41.83,63.25,27,43.27,55.29,,,,25.5,37.5,52,23.5,38.46,61,26.44,38.46,56.41,28,40.87,62.5,,,,25.24,40,60
Mechanical engineers,34,56.41,72.5,27.18,36.06,57.44,25.48,34.62,61,29.06,40.87,55.29,16.5,46.15,81.73,,,,24.64,40.87,69.74,24.04,38.46,58.24,20.15,30,53.33,27.88,37.5,58,,,,26.5,38.79,57.69
Electrical and electronics engineers,29.25,52,76.92,28.85,43.27,57.69,26.92,47.31,60,30,43,56,38.46,43.59,54.95,,,,23.08,35.1,52.82,24,45,65,,,,31.25,44.31,62.7,,,,26.44,45.13,67.03
