Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
Chemical engineers,30,57.69,80.13,27.34,48.88,82.32,,,,26.44,31.25,49.27,,,,,,,,,,21.63,32.69,51.28,,,,20,40.87,58.17,,,,27.47,40.87,55
Industrial and manufacturing engineers,24.5,41.45,68.51,22,32.67,46.91,27.4,38.22,48.98,27.4,37.98,57.26,,,,,,,26.92,32,69.23,22,36.06,57.69,,,,29.5,33.65,57.69,,,,32,41.59,62.5
Metallurgical and materials engineers,31.65,52.05,114.02,23.16,49.65,87.66,,,,,,,,,,,,,,,,29.47,47.46,76.42,,,,,,,,,,28.7,46.81,76.84
Mining engineers,,,,,,,,,,,,,,,,,,,,,,28.59,36.54,60.36,,,,38.46,57.69,80.29,,,,,,
Geological engineers,31.8,51.97,107.02,30.3,48.1,99.61,,,,,,,,,,,,,,,,24.71,43.76,86.6,,,,,,,,,,24.95,43.08,80.09
Petroleum engineers,31.25,58.97,84.13,,,,,,,,,,30.77,41.35,69.71,,,,,,,,,,,,,31.57,40.93,46.05,,,,,,
Aerospace engineers,,,,21.44,38.34,63.19,,,,,,,,,,,,,21,42.35,53.85,24.52,45.67,72.12,,,,,,,,,,28,41.35,63.46
Computer engineers (except software engineers and designers),28.85,46.85,80.77,26.32,40.49,59.26,20.95,42.56,46.15,19,31.25,53.3,19,31.25,53.3,,,,19,31.25,53.3,25,47.69,66.83,,,,38,38.4,40,,,,31.25,42.74,57.69
"Other professional engineers, n.e.c.",22.5,50,72.65,24.04,36.06,57.69,30.77,45,74.52,,,,22.89,35,54.87,,,,20,38.5,62.5,24.04,36.06,58.65,,,,32,38.46,60,,,,28,43.59,58.46
Architects,26.44,42.84,71.11,24.04,33.65,53.42,22.5,37.5,61.54,17,35,75.38,,,,,,,17,35,75.38,20.14,35.9,63.46,,,,,,,,,,24.04,35,57.69
Landscape architects,,,,14.6,32.19,63.48,,,,,,,,,,,,,,,,14.25,35.63,60.41,,,,,,,,,,13.1,28.11,54.03
Urban and land use planners,30,52.52,64.9,29.23,39.56,48.08,,,,,,,,,,,,,,,,20.51,39.49,59,,,,13.98,37.74,45.62,,,,21.23,37.19,56.85
Land surveyors,26.2,45.79,76.12,14.6,29,57.69,,,,,,,20.75,31.5,40.87,,,,20,28,51.79,18.87,30.89,51.37,,,,,,,,,,22,37.88,40.76
"Mathematicians, statisticians and actuaries",34.99,42.53,61.05,26.44,38.46,54.95,20.77,34.62,55.43,26.67,43.82,70.67,26.67,41.63,67.86,,,,26.67,41.63,67.86,30.22,45.13,78.13,,,,27.86,39.9,50.78,,,,25,40,70.88
Information systems analysts and consultants,27,43.3,68.38,24.04,38,51.28,22,40.1,56,23.38,37.5,51.28,26.44,36.06,62.5,,,,23,35,48.08,23.56,39,57.69,22.12,34.62,52,26.92,42.5,56.41,,,,24.04,39.56,54.95
Database analysts and data administrators,28.85,41.32,72.12,20.19,29.81,47.69,18.75,33.65,56.25,21.63,34.87,48.72,21.63,34.87,48.72,,,,18.27,33.2,58.52,19.25,35.9,56.41,,,,23.17,40.79,62.5,,,,18.32,30.77,50
Software engineers and designers,33.17,48.08,64.1,25,46.63,67.31,13.46,38.97,66.67,27.4,36.78,58,27.4,35.71,54.36,,,,27.88,37.08,51.28,29.81,46.15,67.31,27.4,35.71,54.36,20,36.06,59.63,,,,28.85,38.46,57.69
Computer programmers and interactive media developers,20.63,38.46,62.5,21.21,42,60.1,20,33.65,50.26,19.75,32.05,50.48,24.04,33.65,46.15,,,,20.25,33.65,49.74,22.78,38.46,57.69,17,32,41.03,24,36.33,47.6,,,,21,33.33,51.28
Web designers and developers,15,26.44,38.46,16,28.85,42.31,11.9,25.14,37.22,17.36,24,36.06,,,,,,,17.36,24,36.06,20,33.65,43.59,17.36,24,36.06,11.45,26.72,36.7,,,,17,28.85,45.67
Chemical technologists and technicians,17.5,27.88,52.76,17,24,35.06,16.76,25,41.49,16.83,24,33.78,,,,,,,15.42,22.92,39.2,16,25.96,45.67,14.43,21,33.78,17,24,43,,,,15,25,37.5
Geological and mineral technologists and technicians,20,33.65,69.6,19.8,32.9,43.96,18,36.02,51.44,15.08,27.69,30.21,20.77,32,61.54,,,,16.59,30.21,42.07,14.25,25.77,40.38,,,,20,37.5,53.85,22,25,35,17.92,31.73,58.97
Biological technologists and technicians,19.87,24,36.06,16.41,25,30.77,14.5,24.96,41.03,14,21.63,30.26,14.5,20,33.75,,,,14,21.63,30.26,14.4,22.95,36,17.38,23,30.26,16.5,28.95,42,,,,16.4,27.69,39
Agricultural and fish products inspectors,21.49,36.59,49.44,23.92,37.69,48.23,33,34.36,38.46,17.5,35.9,41.03,17.5,35.9,41.03,,,,17.5,35.9,41.03,16.69,34.05,47.68,,,,,,,,,,18.25,33.97,50.5
Forestry technologists and technicians,21,25,48,19.5,30,46.83,,,,17.5,25.64,52.56,,,,26.7,32.39,44.25,17.5,30,41.54,19.78,24.04,38.65,,,,,,,,,,20.77,27.71,32.69
Conservation and fishery officers,28,34.3,49.74,21.63,35,40,,,,22.61,29.32,42.03,25.53,34,44.36,,,,24,35.71,54.51,21.65,29,41.36,13,28.8,38.46,,,,,,,17.44,30.73,42.7
Landscape and horticulture technicians and specialists,18,24.04,65.87,14.6,21,32,16,23.4,34.62,,,,,,,,,,12.55,19,26.75,16,20,40,,,,15,22.5,35.67,,,,14,17.89,40
Civil engineering technologists and technicians,23,35,52,22,34,50,17.95,28.5,38.77,17.5,30,43.27,16.04,27,35,,,,21.5,29.74,41.59,20,30,43.27,,,,16,25.64,49.04,,,,18,29.23,46.5
Mechanical engineering technologists and technicians,21.63,39,56.84,22.72,32.21,42,20.5,36.54,57.69,,,,20.5,27.1,48.08,,,,19.42,31.25,41.03,20,30,49.04,,,,25.3,36.06,56,,,,18.5,28,44.1
Industrial engineering and manufacturing technologists and technicians,20,29.67,43.03,16,33.65,43.27,18.85,28.37,38.46,20.12,28.96,40.07,,,,,,,20.12,28.96,40.07,17.5,26.24,43.27,,,,,,,,,,16.83,25.64,41.83
Construction estimators,22,37.5,62.5,15,33.65,48.08,16.95,31.25,49.52,21,30.05,51.92,22,30,51.92,,,,21,30.05,51.92,20.19,32.21,48.08,,,,24,30,52.88,,,,18.42,25.18,44.47
Electrical and electronics engineering technologists and technicians,17.7,35,53,17.45,31.79,52,17.5,34.87,45.23,17.5,28.85,43.63,21.48,34.13,45.64,,,,17.5,28.85,43,19,31.48,53.85,17.5,28.85,43.63,24,38,46.4,,,,18,28.35,40
Electronic service technicians (household and business equipment),18.95,26.72,36.55,16.5,26.92,46.15,15,23.5,37.5,16,25,33.11,14.75,26.5,41,,,,15,25,41,16,24.79,38,13.35,22,35,15.5,22,38.16,,,,18,26,39
Industrial instrument technicians and mechanics,24.4,41,61.25,18.46,35,50.48,,,,21,36.65,66,,,,,,,21,36.65,66,23.8,35,50.85,,,,26.67,39,53,,,,25.64,35.91,52.97
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",24.4,38.3,57.9,25,37.37,55.25,,,,,,,,,,,,,,,,14.3,36,48.08,,,,,,,,,,16,37,44.8
Architectural technologists and technicians,22,30.57,46.65,23,35,41.03,18,23.59,36.92,,,,,,,,,,,,,17,24,37.5,,,,12.53,26.87,45.12,,,,18.5,23.5,40.87
Industrial designers,31.5,35.92,49.01,14.6,30.62,59.05,17.25,22,39,,,,,,,,,,,,,19.23,31.25,51.92,,,,,,,,,,17.5,25,38.46
Drafting technologists and technicians,21.75,33.75,50,20,30,39,18,25,37.98,19,24.62,40,21,31.32,36,,,,18,28.85,38.46,18,27,45.05,,,,23.08,31.15,48.08,,,,16.67,24.73,35
Land survey technologists and technicians,20,30,43,16.87,29.91,45.64,,,,,,,,,,,,,19,26.5,36,14.7,25.54,40.39,,,,20,28,48.08,,,,15.58,24.29,39.75
Technical occupations in geomatics and meteorology,24.04,41.21,51,20,31.04,57.69,19.4,29.03,41.99,21.98,30.41,40.47,,,,,,,21.98,30.41,40.47,24.04,34.87,44,,,,24.24,35.24,48.97,,,,20.33,28,38.46
Non-destructive testers and inspection technicians,25,42,75,22.4,35.68,49,,,,18.1,30,50,25,36,58,,,,24.5,35.57,55,21.4,35,49.23,,,,18,33,48,,,,23,30,35.04
Engineering inspectors and regulatory officers,27.34,40,52,25.71,44,67.31,20.5,32,50.26,20,34.62,50.34,20,34.62,50.34,,,,20,34.62,50.34,25,34.87,47,,,,23,31.16,50,,,,19.37,36,43.27
Inspectors in public and environmental health and occupational health and safety,23.65,39.9,58,23.08,34.88,54.87,20,34.62,47.69,24.5,36.92,52.31,26.82,37.5,57.69,,,,18,33.33,43.27,19.67,35.1,50.61,20.35,34,46.15,25.4,37.69,55.29,,,,21,35.9,47
Construction inspectors,25,42,65,20,32,45,18,32.05,55.56,20,33.85,51.25,26,36,51.28,,,,20,35.16,38,18.75,35,50.55,,,,21,33.15,54.17,,,,24.33,32.05,43.18
"Air pilots, flight engineers and flying instructors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air traffic controllers and related occupations,25.21,45.19,111.15,20.74,49.88,109.04,,,,,,,27,41.17,84,,,,,,,22,40.06,62.56,,,,,,,,,,19.28,43.63,105.49
"Deck officers, water transport",,,,23,38,50,,,,,,,17.95,36.06,57.23,,,,18.54,38.94,51.28,19,30.54,50,26.75,35.11,43.27,,,,,,,23.08,30.6,42.05
"Engineer officers, water transport",,,,25,37.63,56.49,,,,,,,24,31.5,51.28,,,,13.15,30,56.41,25,35,50.21,,,,,,,,,,17.68,32.85,49.23
Railway traffic controllers and marine traffic regulators,36.56,48.34,58.27,,,,,,,,,,,,,,,,,,,22.07,39.65,53.76,,,,,,,,,,,,
Computer network technicians,20,36.06,57.69,19.93,28.85,49.15,19.52,30,46.72,19.5,27.8,45,15,30,42.55,,,,17,30.77,42.56,18,32,49.45,14.5,28,41.54,20,38.73,52.88,,,,19.32,29.81,44.12
User support technicians,21,32.69,51.56,18.4,30.29,50,16,28.3,48.26,14.25,21.54,35.38,17,28.96,42.07,,,,13.5,23.08,41.03,16,30,50,13,18.01,40,18,31.25,51.92,,,,18,26.41,40
Information systems testing technicians,23.42,37.64,54.25,20,31.79,48.72,20.43,26.44,41.03,15,24.52,33.33,,,,,,,,,,20.51,35.38,43.59,,,,,,,,,,,,
Nursing co-ordinators and supervisors,27.76,45,53.21,21,39,50.17,23.82,44.5,53.2,18,42,47,16.55,42,54.4,,,,23,39.5,47.49,18,37.5,48.67,24.43,40,46.15,25,48.06,53.46,,,,26,40,52.2
Registered nurses and registered psychiatric nurses,28,44.9,50.59,25,40.02,46,29,40,45,23.24,39,43.25,29.71,40.02,45.7,38.44,55.74,72.57,24,38,42,23.5,36.15,47,26.5,38.95,42.44,35,44,48.5,33.77,45.28,61.41,23,35,44
Specialist physicians,,,,89954.2,250975.2,508374.3,114580,338520,662709.6,120516.75,289784.25,514133.25,126424.8,277903.2,579702.4,,,,135383.74,228636.32,431337.86,87882.9,256582.9,530314.4,115040.25,303549.75,566850,,,,,,,,,
General practitioners and family physicians,,,,66396.4,160631.1,301028,105635.2,253765.6,475912,78491.25,179037.75,324228,83488,187696.8,329843.2,,,,77081.36,183095.98,335617.38,81804.8,220283,408047.5,87275.25,226311,348667.5,,,,,,,,,
Dentists,31668,127890,344374,30748,104055,214663,,,,,,,,,,,,,27917,115050,166709,32418,114966,248306,,,,,,,,,,29334,121027,243253
Veterinarians,41090,96817,145253,35894,85140,141503,27001,86801,129322,,,,,,,,,,26430,73259,104357,30085,83697,148842,,,,24173,83911,131550,,,,40081,83200,130549
Optometrists,,,,30748,73717,135876,,,,,,,,,,,,,,,,30085,86806,179461,,,,,,,,,,31923,101485,175448
Chiropractors,31668,60494,121530,30748,53032,118501,,,,,,,,,,,,,,,,30085,58987,116267,,,,,,,,,,27452,67847,125267
Allied primary health practitioners,20,51.44,58.48,24.83,45.77,53.41,33.33,52.88,58,30,45.35,57.44,,,,,,,30,45.35,57.44,27,53.33,60,,,,56,58.69,59,,,,27.63,47.29,67.23
Other professional occupations in health diagnosing and treating,,,,30748,55235,105319,,,,,,,,,,,,,,,,30085,54304,116368,,,,,,,,,,27452,41035,82852
Pharmacists,60529,111536,138040,68708,98725,127387,75699,110436,141059,75256,98894,135958,72744,97557,130905,,,,64830,93743,123079,40188,101646,143978,,,,72847,109108,145484,,,,63924,112199,161891
Dietitians and nutritionists,22.3,45.42,50.33,23.85,33,42.73,24,35,49,18.39,33.33,40.15,,,,,,,22.56,33,38,25,36.5,44,,,,25,39,41.43,,,,13.1,33.05,42.65
Audiologists and speech-language pathologists,23.5,47.58,55,33,40.38,52,32,43.27,54.35,32.97,42.6,48.9,32.97,42.6,48.9,,,,32.97,42.6,48.9,22.44,37.76,49.1,37,43,51.5,23.13,49.45,60.44,,,,22.15,33.9,55
Physiotherapists,34,44.68,61.54,34,40.38,48.08,26.25,38,44.3,22,36.38,38,25.96,36.38,45.1,,,,22,34.87,43,28.51,40.51,46,33.14,38.46,45.1,33,43,47.67,,,,24,36,49
Occupational therapists,33.78,43.27,55.38,27,40,45.19,31.25,37.44,42.07,11.7,33,42,40,45,50.2,,,,29.67,38,40,23.5,43.08,51.78,24.05,35,41.33,28.85,38.43,45,,,,29.81,36.7,46
Other professional occupations in therapy and assessment,18,29,48.2,18,25.03,41,,,,,,,,,,,,,,,,17.5,23.9,45,,,,20.45,30,40,,,,16,21,36.5
Medical laboratory technologists,28.7,43,50,23.41,35.23,45,18.6,34.6,42,21.4,33,40,27,34.97,44,,,,24,33,38.5,27.4,38.5,42,27.95,35,41.03,23.64,36,45,,,,22.49,31,33.75
Medical laboratory technicians and pathologists' assistants,23,28,45,22,24,34,16,26.32,33.77,15,22.15,33,21,28.94,35,,,,12.55,23.95,34.34,18,27.4,41,19,23.69,38,20,24,45.82,,,,16.83,24,33.6
Animal health technologists and veterinary technicians,15,23,26,14.6,18.35,25.3,13,18.03,38,11.7,15,23,13.88,16.15,21.24,,,,12.55,16,20.88,14.25,19,23,14,18.5,25.64,17,18.5,35,,,,13.1,18,28
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",31.25,45.75,50.64,23.1,35.44,51.08,23,38.38,53,25.96,31.8,33.33,,,,,,,25,31,37,25,40,45,,,,31.84,39,40,,,,23.13,32.4,38
Medical radiation technologists,30,41.75,48,28,34,45,30,36.2,44,29.85,32.36,40,28,40,45,,,,28,34.95,45,25,37.93,45,26,34.95,41.21,30,36.63,41.97,,,,23,32,35
Medical sonographers,20.25,48,51.23,35.13,38.7,40,35,42,56.92,33.62,39.59,44,,,,,,,33.62,39.59,44,25,36.8,44,,,,45,47.03,49.39,,,,,,
"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",27.56,35.83,57.6,27.51,33.64,37.04,,,,26,28.94,33.8,,,,,,,26,27.9,29.77,19.5,25,35,,,,,,,,,,,,
Other medical technologists and technicians (except dental health),15.64,23,32,14.6,19.8,27.8,13,18,25,12,17,28,12.15,16.5,25.84,,,,12.55,16.25,25,15,21,33,12.85,15.45,23.9,13,18,31.2,,,,13.1,16.35,24.13
Denturists,,,,,,,,,,,,,,,,,,,,,,30085,44325,94488,,,,,,,,,,27452,49967,112593
Dental hygienists and dental therapists,33.55,53,60,24.69,43,48,37,42,48,19.83,30.5,39.14,,,,,,,30,33.5,38,24,36.5,42,21.33,34.5,36.65,37,41,51.82,,,,23.38,30.5,35.5
"Dental technologists, technicians and laboratory assistants",17.6,25.81,38.92,14.6,23.6,41.61,14.9,19.23,30.15,,,,,,,,,,13.5,20,33,16.5,22.75,35,,,,,,,,,,16,22,26.53
Opticians,22,25,40.87,16,20,25,,,,15.5,25,28,15.5,25,28,,,,16,25,28,17,28,34.5,,,,17,27.4,38.53,,,,13.1,24,30
Practitioners of natural healing,,,,17.31,28.85,48.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensed practical nurses,25,30,34.95,24.24,28,31.15,21.75,32,36.25,21,24.65,26.5,23,27.25,29.33,,,,21.75,25.13,26.89,21,27,31,21,25.6,26.86,29,36,37.14,,,,18.5,25.18,29.7
Paramedical occupations,24.72,34,48.08,19,28.8,43,21.67,33.8,43,23.89,25.72,29.9,18.5,24,29.99,,,,22,25.63,36.06,26,37.91,44,17,28,38.41,18,30,42,,,,24,29,35.24
Massage therapists,17.5,27,50,15,20,50,,,,,,,,,,,,,,,,20,23.08,42.7,,,,,,,,,,17.5,25,33.94
Other technical occupations in therapy and assessment,16,23,29.23,15,24.55,26,,,,,,,12.15,27,35.9,,,,12.55,22.5,25,14.25,18,28.85,,,,18,25,30,,,,16,24.88,32.69
Dental assistants,20,29,37,20,26,33,19,23,30,16.25,20,24.5,16.25,18.75,28,,,,19.05,21.75,25.96,16.15,22.8,29.7,16,20,26.8,23,27.5,36.5,,,,15,20,28.02
"Nurse aides, orderlies and patient service associates",17,21,27,18,22,25,14,19.5,22,12.5,17,22.69,13,17,24,14.93,37.64,44.6,15.54,17.97,21.6,16,20.67,27.5,14,21,25.36,15.82,22.37,24,26.14,30,33.78,13.5,20.25,22.35
Other assisting occupations in support of health services,16,21.75,26,14.6,19.8,24.85,14,19.37,23,14.5,19.5,28,14.4,19.99,27,,,,13.5,21,25,14.25,18,27.25,13.25,20.06,26.58,13.8,20.83,28,,,,13.25,20,27
University professors and lecturers,22,48.08,75,23.12,44.87,72.12,21,44.23,71.79,18.75,43.13,67.04,18.03,43.13,69.23,,,,17.42,40,62.5,21.98,52.5,82.41,25,44.87,81.73,22.44,51.82,81.73,,,,20.51,48.08,75
Post-secondary teaching and research assistants,15,25,44.51,14.6,22,46.15,11.9,20,39.74,11.7,17.79,40.87,12.86,23.4,42.35,,,,13,22.68,39.64,14.25,24.04,45,12.85,18.9,36,12.02,20,39.89,,,,13.19,24,38.46
College and other vocational instructors,20,41.03,60,16.83,38.46,67.69,20,35,47.18,20,31.08,39.73,14.5,34.36,51.33,23.98,57.71,72.7,20,37.91,49.45,15.2,33.65,60.1,19,33.61,48.08,20.58,38.46,51,,,,20.71,41.25,52
Secondary school teachers,28.85,41.03,52.88,25.29,37.5,51.1,19.23,40,50.75,25,36.06,41.03,31.25,44.23,70.77,29.46,45.01,61.27,17.58,39.42,49.11,25,45.19,56.56,25,38.46,43.59,25.96,38.46,51.65,31.5,47.63,51.7,25.64,40.21,49.88
Elementary school and kindergarten teachers,22.5,40.38,52.45,23.45,35.83,51.28,22.24,37.5,50.55,22.5,35.14,41.83,26.92,42,58.24,24.41,50.68,67.88,20.51,36.06,45.6,22,40.87,53.85,20,38,43.59,24.79,37.39,49.45,18.41,44.12,51.07,22.6,37.36,48.08
Educational counsellors,18.27,32.42,52.4,25,36.26,48.08,21.63,36,51.68,20,33.65,45.41,21.6,37.98,50.55,,,,18,37.98,52.63,14.25,34.76,53.85,25.43,39.49,43.59,21.92,34.62,53.85,,,,30,41.21,45.05
Judges,293991,293991,314100,270000,270000,314100,269311,314100,314100,252240,314100,314100,223100,314100,314100,,,,238513,314100,314100,306476,314100,314100,264839,314100,344400,299792,307077,314100,,,,254518,254518,314100
Lawyers and Quebec notaries,46078,140808,423922,37400,115621,242117,45823,109179,198651,30259,79485,140372,55248,131203,279002,,,,35224,104920,167952,44491,131654,357035,27062,89419,144905,24173,119587,190371,,,,27452,89666,208176
Psychologists,20,46.67,66.63,32.21,44.15,65,27.35,35.9,52.88,15.3,36.5,46.15,,,,,,,17,41.35,56.41,19.8,43.24,68.68,,,,29.05,49.74,62.64,,,,24.04,45,50.55
Social workers,21.63,36.06,48.52,22.7,35.16,44,18,33,44,20.17,33,40,32.06,38.5,48,,,,22.15,32.97,44.5,20.63,33.75,46.1,26,32.88,40,23,32,43,,,,21,32,45
"Family, marriage and other related counsellors",21.32,36.15,53,18,28,42.73,20,32,43,14.8,21.49,38.46,16.5,27.82,42,,,,17,22,38.97,20,28.85,42.07,18.59,31,45,19.5,29.7,40.66,,,,21.03,33,44.12
Professional occupations in religion,16.83,25.24,40.38,14.6,25.64,37.5,13.46,21.1,33.78,11.7,19.38,30.16,15,21,34.07,,,,15,24.04,33.65,15.63,25.96,38.46,12.85,20.19,35.75,14.31,25.35,38.46,,,,15.38,19.23,42.02
Probation and parole officers and related occupations,19.48,42.91,46.78,29.57,38,44.87,18.45,40,48.08,23,34.25,46.15,,,,,,,23,34.25,46.15,27.2,37.98,43.41,,,,29,36.16,46.15,,,,24.54,34.33,43.3
Employment counsellors,20,27.56,46.15,21.63,25.5,31,16.45,22.12,27,19.23,26,37,18.57,25.4,34.91,,,,20,22,32.97,18,27,40,18,25.78,31,21,28.22,36.41,,,,20,23.24,31.08
"Natural and applied science policy researchers, consultants and program officers",26,36.06,62,19,38,62.25,21.75,30,47,21,38.46,51.65,22.05,47,67.63,36.33,54.3,72.73,19.23,36,46.15,22,41.03,60.44,21,38.46,51.65,25.48,33.65,52.88,,,,19.72,38.88,52.4
Economists and economic policy researchers and analysts,38,48.08,74.36,20.14,38.78,60.56,20.63,35.03,68.88,28.21,36.25,63.08,,,,,,,28.21,36.25,63.08,28.85,45.05,68.27,,,,24.12,42.09,69.94,,,,29.22,48,61.54
Business development officers and marketing researchers and consultants,30,50,87.18,24.04,36.92,66.67,28.85,40,55.77,24.04,35.9,53.34,18.7,35.73,54.35,,,,12.55,28.85,49.23,17.5,33.65,60.44,14,31.79,50.55,19.42,33.59,62.5,,,,19.52,28.72,48.35
"Social policy researchers, consultants and program officers",20.51,45.67,53.19,18,30,46.7,20.91,36.54,53.01,19.23,30,42.56,21.63,39.69,45,,,,20.43,33.33,46.15,21.54,35.9,53.01,23.08,36.92,45.19,20,33,50.96,,,,19.23,36.28,52.82
"Health policy researchers, consultants and program officers",25.84,47.95,60.44,15,35,52.44,23,36,48,22.56,39.29,46,22,38.46,48.9,,,,26.67,33.94,47.8,19,37.26,54.87,29.23,39.49,50.77,21.63,42,53.85,,,,20,35,51.8
"Education policy researchers, consultants and program officers",19.62,36.92,54,18,33.69,50.26,23,36.09,48.35,23,33.65,47.68,28.21,38.46,51.44,,,,15.71,29.6,56.87,22,36.06,52.88,22.5,41.03,48.72,21.03,37.5,51.03,,,,21,38.46,60
"Recreation, sports and fitness policy researchers, consultants and program officers",15,29.41,44.33,22,29.23,37,18.5,22.35,65,15.99,19.93,31.78,,,,,,,14,21,35,15,25.71,51.03,,,,21.06,27,33.07,,,,15,24.13,42
Program officers unique to government,25.52,41.17,66.52,28,38.75,48.08,20.43,33.9,46.63,23.43,34.84,47.58,,,,,,,23.2,38.88,55.31,30,46.25,61.54,,,,23.62,37.48,58.61,,,,18.83,32.97,52.31
"Other professional occupations in social science, n.e.c.",30.84,41.18,55.02,17.75,31.09,52.13,,,,,,,,,,,,,,,,21,35.9,61.03,,,,,,,,,,13.75,30.2,47.83
Paralegal and related occupations,25.09,35.71,50,18,28.85,47,13,21.63,29.96,14.5,21.98,27,17.95,19.95,25.64,,,,16.5,21.98,31.87,17.58,28.85,50.55,15.71,24,28.21,20,30,38,,,,14.5,25.82,41.61
Social and community service workers,16,22,43.75,16,21,28.98,13.5,18,30.78,13,16.6,28,15,22,30.22,17.97,32.67,58.58,15,21,32.45,16,24.13,35,15,23,29.5,15,21.05,33.1,15.72,32.47,43.83,14.3,23.46,33
Early childhood educators and assistants,15,17,28.5,14.6,18,24,11.9,14.15,22.48,14,16,20,12.15,15.5,25,13.46,22.05,30.75,12.55,17,23.08,14.25,19.75,28.57,12.85,16.05,20.56,11.5,15,22.62,16,20.82,25.56,14,20.65,25.16
Instructors of persons with disabilities,18,21.94,34.25,18,25,35,,,,,,,,,,,,,14.72,23.73,41.73,18,25,45.67,,,,,,,,,,14,26.05,32.28
Other instructors,15,21.15,33,14.6,19,34.36,11.9,18,32,14.5,17.5,26,14.5,17.5,26,,,,14.5,17.5,26,14.25,17.58,30,,,,,,,,,,15,17,30
Other religious occupations,15,21.82,41.48,,,,13.08,19.23,32.05,12.4,17.49,31.1,,,,,,,12.55,17.49,54.81,14.25,23.08,50.43,,,,,,,,,,13.1,19.94,40
Police officers (except commissioned),29,44.87,56.82,30.1,41.83,53,22,45,57,25,40,50,34.58,42.07,50.77,40.95,59.93,80.25,24.04,41.35,47.6,30.05,46.15,57.69,25.64,40.06,43.27,26.04,43.27,55,41.83,54.45,69.18,23.3,43.59,54
Firefighters,28.85,45,56,33,44.17,52,32,40.06,50,27.64,34.05,41.21,21.54,37.1,54.25,,,,20.83,31.65,41.76,28.85,43.75,53.11,,,,30,42.12,51.88,,,,22.44,35,44.22
Non-commissioned ranks of the Canadian Forces,23.96,33.6,41.9,23.63,34.57,45.28,22.34,30.33,38.32,22.13,29.84,36.57,23.5,30.32,38.45,,,,23.13,34.2,43.73,21.76,31.95,42.34,,,,23.16,31.95,46.81,,,,18.89,31.02,40.48
