Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
"Supervisors, motor transport and other ground transit operators",21.15,32.69,47,15.38,25.7,46.15,14.5,28.85,42,17.53,25.15,31.19,,,,,,,17.53,27.19,48.08,16.88,25.48,44.62,,,,17,25,41.83,,,,15.9,25,45.67
Construction millwrights and industrial mechanics,23,40,57,21.62,33,44.88,18,27.5,42.79,16.9,27.5,38.68,18.21,35,47,,,,14.5,26,35,19,30,41,15,23,28.5,20,38.38,50.91,,,,19.83,27,38.25
Heavy-duty equipment mechanics,25,38.46,52.88,24.04,38,48,20,30.05,43,16.5,26,40,18,30,45,,,,16,26,39,18,30,43,15,23,35,21.45,34,45,,,,18.75,27.4,41.16
Refrigeration and air conditioning mechanics,20,36,48,17.41,32,48,18,30,43,16,26,39.35,17,26,40,,,,17,26,42.5,17,32,49.29,17,26,40,20,35,53.01,,,,24,35,42.5
Railway carmen/women,35,37,41,30.93,34.52,40,17.5,38,40,,,,,,,,,,,,,23,33.37,39,,,,26.69,31,38,,,,23.8,35.42,54.09
Aircraft mechanics and aircraft inspectors,17.39,31.25,41,16,30,43.59,16,29.35,45.19,17.31,27.58,48,12.15,25.44,50,,,,17.31,27.58,48,17.5,34,48,19,20.76,25,17.31,36,46,,,,15,25,41.54
Machine fitters,,,,,,,,,,,,,,,,,,,,,,15.87,27.89,45.69,,,,,,,,,,15.45,34.58,46.34
Elevator constructors and mechanics,25.67,48.12,72.36,28.77,49.17,69.62,,,,,,,,,,,,,,,,15,37.93,54,,,,,,,,,,24.25,37,44.21
"Automotive service technicians, truck and bus mechanics and mechanical repairers",19,32,44.17,15.38,28,41.35,13.75,22,34.5,14.5,20,26,15,26,36.13,14.56,37.73,52.29,13.5,22,32,15,24.04,37,13,18,24,16,30,39.7,,,,15,23.3,33.19
Motor vehicle body repairers,19.23,28,40,16.75,25.48,40,15,21.43,32,15,19,30,16,26.5,36.5,,,,17.25,23,36.06,14.25,20,33.78,16.24,20,26.47,18,24,38,,,,14.75,22.5,33.5
Oil and solid fuel heating mechanics,19.5,28.45,37.5,,,,,,,,,,16.25,22.5,32.16,,,,16,22,33,16,23,33.98,,,,,,,,,,15,21,35.01
Appliance servicers and repairers,17,25,37.79,14.6,23.84,42.05,,,,19,21.25,50,,,,,,,19,21.25,50,15,20,30,,,,,,,,,,13.1,19,26.5
Electrical mechanics,15,40.79,67.2,18.24,39.66,62.18,,,,,,,,,,,,,,,,16.6,31.8,52.01,,,,,,,,,,19.62,25,35
"Motorcycle, all-terrain vehicle and other related mechanics",,,,15,28,35,,,,16,21,29.53,,,,,,,16,21,29.53,23,30,37.98,,,,14.5,25.38,30,,,,17,20,42
Other small engine and small equipment repairers,15,26.59,36.11,20,27,33,11.9,21,24.5,,,,13.63,20,25.21,,,,12.55,16,24,14.25,21,26.5,,,,18,22,25,,,,16.75,19,24
Railway and yard locomotive engineers,29,40,50,30.52,40.13,60.1,20,35.58,43.27,,,,,,,,,,,,,19.25,37.82,57.69,,,,17.1,33,53.85,,,,26.81,35,52.88
Railway conductors and brakemen/women,24,34.34,38.75,22,34,41.35,18.5,29,38.46,,,,,,,,,,,,,22.5,37.5,42.31,,,,19,32.36,46.15,,,,21,35.57,44.56
Crane operators,20.19,38,46,22,31.5,41.08,16.85,25.65,40.33,16.5,28.85,38.78,27,30,40,,,,,,,24,30,45,,,,25,34.72,42,,,,20,31.67,46.23
"Drillers and blasters - surface mining, quarrying and construction",22,30,40.8,27,33.46,39.81,19,28,33,18.72,29,36,22.53,29,36.24,,,,16,26.52,35.82,20,29,37.5,,,,20,30,42,,,,21.31,31.71,40
Water well drillers,,,,,,,,,,,,,,,,,,,,,,15.5,21,28,,,,,,,,,,19,25,34.45
Printing press operators,16.5,24.18,34.95,16,24,37.94,14,19.12,26.25,14.25,23.9,36.1,14.25,23.9,36.1,,,,14.55,24,36.1,16,21.63,32,,,,,,,,,,14,23,37.39
"Other trades and related occupations, n.e.c.",21,28.43,43.14,18,28,42,,,,20,22.5,25,18,22.5,30,,,,18,22.5,30,16,24,33.65,,,,13.5,25,40,,,,14,20.8,40
Residential and commercial installers and servicers,18.5,26,37,16,22,35,15.3,22,31,14.45,19.5,30,16,20,25,,,,13.62,19,30,16,21,33,14,19,25.84,17.5,25,34,,,,14,20.5,33.19
Waterworks and gas maintenance workers,20,34.86,48,19.22,31.31,45.87,12.12,27.15,46.2,,,,,,,,,,,,,24,33.65,41.7,,,,22,29.96,41,,,,17.02,29.63,52.28
Pest controllers and fumigators,15,29.23,42.83,14.6,23.7,35.48,,,,,,,,,,,,,,,,16,21.63,35.58,,,,,,,,,,13.1,19.48,33.08
Other repairers and servicers,15,24,36.06,15,19,26,14,20,38,13.5,18.7,36.39,,,,,,,13,18.7,36.39,14.25,20,35.8,15,22,25,17,27.45,32.25,,,,13.1,17.25,29
Longshore workers,,,,25,42,47.32,,,,16,26,40.15,16,24.64,27,,,,16,26,40.15,,,,,,,,,,,,,19,30,36.7
Material handlers,15,21,32,14.6,18,33,12,17.5,27,11.75,16,23.92,12.15,16.25,25,16,22,32.92,12.55,16.5,26,14.25,17.55,26.3,12.85,15,23.08,13.46,19,28.09,,,,13.1,17.42,26.86
Transport truck drivers,18,27,38.06,16.15,26,36,15,21.5,31.73,13.57,18.98,28.13,14,21.06,33.84,25,28,31.75,13.75,20,27.24,15.73,21.98,30.77,13.33,18.49,26.67,16.72,25,35,25,29.56,33,15,20.22,28
"Bus drivers, subway operators and other transit operators",15.38,24,36.3,16.32,27,32.63,12.75,21.81,28.15,15,20,24.04,12.15,20,27.6,20.58,24,27.36,15,22.52,27,14.25,19.23,34,15,21,23.5,13,19.76,27.38,18.5,24.6,28.64,14.1,23.14,31
Taxi and limousine drivers and chauffeurs,15,16.67,23.08,14.6,16.25,23.08,11.9,11.9,19.98,11.7,13.5,20,,,,,,,12.55,15.38,28,14.25,16.5,29,,,,11.45,14.42,25,,,,13.1,13.5,27
Delivery and courier service drivers,15,20,30.78,14.6,16.67,28,11.9,14.5,25.71,11.7,14,25,12.15,14,26,20,24.5,30,12.55,14,26,14.25,18.51,30,12.85,14,26,11.45,17,29,,,,13.1,15,29.6
Heavy equipment operators (except crane),20,30,37,23.5,31,38.34,18,24,31.5,17,20.8,30,19,25,34.58,24.65,28.73,36,17,21.67,32,18.5,25.55,37.36,15.92,18.05,24,20,26.19,36,25,30,35,19,29,38.5
Public works maintenance equipment operators and related workers,17,30,35,20,28,32.56,18,23,30.5,16.5,18.9,29,20,24.74,32,,,,12.55,20,24.43,18,23,31,12.85,19.5,23,17.95,25,29,,,,17,23,30.47
Railway yard and track maintenance workers,27.4,32,34.95,28,35,37,20,32,38.05,,,,,,,,,,,,,20,28,35,,,,23.32,32,35,,,,16,27.63,36.23
Water transport deck and engine room crew,,,,21.5,28,31.47,,,,15,18.95,26.59,13.89,26,33.65,,,,13.74,25,30,15,26.75,30.5,16,22,28,,,,,,,19.19,21.64,27
Boat and cable ferry operators and related occupations,,,,19,25.97,35,,,,18,18.63,26,14.18,20.75,36.16,,,,14,20.81,27.87,16.86,23.87,27.81,,,,,,,,,,16,22,28.9
Air transport ramp attendants,17.85,22,27,14.6,18.5,35,15,19,31.73,,,,13,20.86,41.27,,,,12.55,16.25,29.63,15,19,26,,,,,,,,,,13.5,18.5,26.92
Other automotive mechanical installers and servicers,15,19,32.45,14.6,17.75,27,11.9,17.4,28.88,11.75,16,21.4,12.15,15.5,25.2,,,,12.55,15,19,14.25,17.55,30,,,,12,16,26.75,,,,13.1,16,23
Construction trades helpers and labourers,15,22,35,14.6,20,30,14,20,28.5,13,16,22,15,20,34.12,18,22.5,28,12.55,17,29.28,14.5,21,36,12.85,17,21,15,20,30,19.38,24.75,29.97,15,25,34
Other trades helpers and labourers,17,22,32,15,21,32.61,14,19,32.54,13.07,16.75,22.44,13,18,33.96,,,,13,17,24.78,14.25,19,32.7,,,,15,21.13,30.63,,,,14,19.8,33.05
Public works and maintenance labourers,17,26,36,15,26.5,35,12.5,19.79,28,13,17,26.5,12.15,20,28,18,22,30,12.55,19,25,16,25.13,33.4,12.85,17.5,20,15.5,23,27.88,16,25.75,31.13,20,25,33
Railway and motor transport labourers,16,21,29,15,20.95,30.03,14,19,28,12.05,16.5,24.85,12.15,17.5,29,,,,12.55,14.6,21.83,14.25,18.49,28.75,,,,15,20.9,29.93,,,,13.12,17.15,28.8
"Supervisors, logging and forestry",25,37.61,43.75,22.12,36,47,,,,,,,,,,,,,,,,19,26,39,,,,,,,,,,18,22.44,30.27
"Supervisors, mining and quarrying",34,42.9,62.5,18,42,52.88,27.47,38.46,47,,,,,,,,,,12.55,30,46.15,19,35,56.25,,,,25,47.75,60.1,,,,22,43.75,59
"Contractors and supervisors, oil and gas drilling and services",23.81,45,65.13,17,33.65,61.54,,,,17,29,50,22,34.5,60,,,,,,,25,34.5,46,,,,21.59,38,61.54,,,,,,
Underground production and development miners,22.19,39.05,41.86,25,36,42,20,33.69,44,15.15,28.1,42,23,31,42,,,,22,25,35,21.15,32.5,45,,,,25,42.5,50,,,,21,35.73,55
"Oil and gas well drillers, servicers, testers and related workers",24,39.12,62.58,22.91,40,42.8,15,32,57,14.42,32,58.7,20.98,32,60.44,,,,,,,18,28,42,,,,23,36.92,50,,,,,,
Logging machinery operators,20.51,30,40.87,27,32,40,16,25,29.5,17,20,26,17.2,25,35,,,,14,19,25,22.02,26,30.65,,,,21,27,31,,,,17.86,24,29.5
"Agricultural service contractors, farm supervisors and specialized livestock workers",16,20,27,14.6,18.5,30,14.6,21.15,33.33,13,17,22,,,,,,,12.55,16,23.5,14.25,20,37.98,14.5,17.43,31.25,14.42,20.69,36,,,,13.1,17.5,27.4
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",20,26.41,47.75,15,25,41.67,15.38,23,27.85,12,15.73,21,14,19,33,,,,12.55,17.25,23.5,16.02,25.5,38.46,14,17.25,20.71,15,22,30.02,,,,15,20,32.17
Fishing masters and officers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishermen/women,,,,19.3,35,100,13,22.5,53,14.1,20,80,20,37,100,,,,15,30,100,15,25.4,50,14,20.83,100,,,,,,,14,20,79.17
Underground mine service and support workers,,,,26.98,35.35,42.5,35,37,46,,,,,,,,,,,,,14.25,28.25,37,,,,,,,,,,17,32.16,45
Oil and gas well drilling and related workers and services operators,16,32,40,30,36,38,25,32,36.7,18.5,31,38.02,22.33,32,38.02,,,,20,33,44.5,20,28.12,37,,,,25,33,43.75,,,,,,
Chain saw and skidder operators,21,25.51,32,20,30,36.82,11.9,20,26,14,20,28,14,20.9,35,,,,12.55,20,25,17.45,23.25,30,,,,15,25,34,,,,16,22.22,29
Silviculture and forestry workers,17,20,26.12,18,21.84,33.06,14,18.19,26.79,15,20,27.39,18,20.5,27.46,21.42,28.08,33,16,20.68,25,16.91,21.84,28,,,,12.5,15.96,24.33,23,26.79,35,17,21.52,30.78
General farm workers,15,20,30.59,14.6,17.31,30,11.9,18,26.25,11.7,16,22.11,12.4,16.5,25,,,,12.55,15,19,14.25,16.5,28,12.85,15,20,12.69,21,30.29,,,,13.1,16,22.5
Nursery and greenhouse workers,15,16,32.17,14.6,17,29.33,11.9,12.5,20,11.7,15,20.9,12.15,12.25,15,,,,12.55,13.15,20,14.25,16,29.06,12.85,15,25,11.45,15.25,23.8,,,,13.1,14.9,20
Fishing vessel deckhands,,,,19.65,30.5,50,,,,14.1,18,30,15,30,100,,,,15,20.82,50,,,,15,17,25,,,,,,,14,17.85,36.32
Trappers and hunters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvesting labourers,15,17,20,14.6,14.6,28,11.99,17,22.5,11.75,15,20,12.15,14.65,16.5,,,,12.55,14,15.5,14.25,14.6,20,12.85,14,19.71,15,22.25,28,,,,13.1,14,19.75
Landscaping and grounds maintenance labourers,15,20,31,14.6,20,30.65,11.9,16,23.56,11.7,15,21.58,12.15,14,26.47,17,22.5,30,12.55,16,21.43,14.25,17,25,12.85,15,20.3,12,17,26,15,26.72,30.63,13.1,16,24.6
Aquaculture and marine harvest labourers,,,,15,18.56,34,,,,14.5,18,25.96,14.56,17.14,26.92,,,,13,17.17,31.01,,,,13.65,16.25,24,,,,,,,,,
Mine labourers,18.18,25.88,35.9,18,26,35,27.29,32.7,37.5,,,,18.36,28,39.85,,,,,,,17,24,35.28,,,,23.5,36,47.75,,,,18,25,37.2
"Oil and gas drilling, servicing and related labourers",18.46,27,32.5,21,28,32,20,29,34.76,15,22,32.89,16,25.7,34,,,,18,29,35,17,27.5,32.71,16.25,25.51,32,19.85,26.5,35,,,,,,
Logging and forestry labourers,17,22,33,16,28,40,13,18.42,30,13.41,17,24.12,14,19,25.85,,,,13,16.5,25,15,21.02,35,13.5,17,36,14,20,33.5,,,,15,23.83,40
"Supervisors, mineral and metal processing",27.88,35.2,51.44,22,35.28,48.08,17.08,27.88,48.08,16,27.5,39,,,,,,,15,25,30,18.25,31.25,45,,,,,,,,,,19.5,27.4,50
"Supervisors, petroleum, gas and chemical processing and utilities",21,44.89,64.1,19.25,32.69,56.41,,,,17.75,34.62,50,,,,,,,25.6,37,50,17.5,29.75,53.42,,,,15,38.75,57,,,,18,33.65,52.88
"Supervisors, food, beverage and associated products processing",16.67,25,43.27,17.25,26.92,40.87,18,22.1,33,15,19.98,32.69,13.46,18,26.44,,,,13,20,36.2,16.5,25,36.67,14,20,32,14.42,20,37.5,,,,14,20,35
"Supervisors, plastic and rubber products manufacturing",19.85,31.76,56.72,15.5,25,46.39,,,,,,,,,,,,,,,,17,26.5,39.77,,,,,,,,,,18.75,24.04,38.46
"Supervisors, forest products processing",21,33,55,22,37,52.5,15.85,28.85,50,17.04,26,37.98,,,,,,,,,,14.9,32,46.33,,,,,,,,,,18,28,45.41
"Supervisors, textile, fabric, fur and leather products processing and manufacturing",18.22,18.22,28.32,,,,14,20,20.5,,,,,,,,,,,,,16,20,25.5,,,,,,,,,,13.1,17,26.13
"Supervisors, motor vehicle assembling",,,,,,,23.42,30.53,40,,,,,,,,,,,,,21.6,32.69,45,,,,,,,,,,,,
"Supervisors, electronics manufacturing",,,,,,,,,,,,,,,,,,,,,,16,25,38,,,,,,,,,,15,28.85,56.41
"Supervisors, electrical products manufacturing",,,,,,,,,,,,,,,,,,,,,,23,32,40.87,,,,,,,,,,15.67,27.24,44.69
"Supervisors, furniture and fixtures manufacturing",,,,23,30,36.5,14.45,21,36.06,,,,,,,,,,,,,20.5,28.85,35,,,,,,,,,,13.1,22,25.23
"Supervisors, other mechanical and metal products manufacturing",24,42,52.98,24.62,40,55,20,28,36.06,,,,,,,,,,15.73,33,46.15,17.4,29.5,43.28,,,,22.78,31.5,45.19,,,,20,27.5,42
"Supervisors, other products manufacturing and assembly",,,,20,27.78,38.75,,,,16,23.08,33,,,,,,,,,,19.75,22,36.63,,,,,,,,,,20.6,27.88,33.73
"Central control and process operators, mineral and metal processing",,,,35,38.5,40,24,32,35,,,,32.77,33.55,40,,,,,,,21,30,43.27,,,,35,41.03,49.5,,,,22.02,32,50.37
"Petroleum, gas and chemical process operators",29.48,45.67,65,20,40,54.78,15,37.2,52.08,,,,17.32,30,60,,,,,,,17,33.65,56.25,,,,25,44.5,56,,,,,,
"Pulping, papermaking and coating control operators",28,39,42.74,33,35.42,42,,,,15.28,28,45,,,,,,,,,,14.78,28.06,43.49,,,,,,,,,,20,34.7,38.46
Power engineers and power systems operators,26.07,45,63,27.2,38.12,57,25.27,37.2,49.7,18.75,25.98,43,20.5,32,45,,,,15,32.5,43,23.08,41,58,21,25,43.27,23.57,44.58,58.5,,,,17,27,52
Water and waste treatment plant operators,30,38,48,18.99,32.24,37,21,25.35,43.27,15,25,31.42,15,25,31.42,,,,15,25,30.59,22,28,38,,,,22.5,27.6,34,,,,18,30,34.75
"Machine operators, mineral and metal processing",20.02,38.33,58.36,28,36,43.16,15.7,26,33,14,25,31.22,,,,,,,,,,16,24,33,,,,19.85,35,48.47,,,,19.95,36,45
Foundry workers,,,,,,,14.89,23,25.4,,,,,,,,,,,,,15,19.01,26.75,,,,,,,,,,15,21,35
Glass forming and finishing machine operators and glass cutters,,,,14.6,18,22.52,,,,,,,,,,,,,,,,15,17.51,23.48,,,,,,,,,,15,21,25.41
"Concrete, clay and stone forming operators",19,25,32.6,16.5,24.2,32.06,16.25,23,28.5,14,20,25,17,25,32.5,,,,14.5,20,28,16,22,31.79,,,,18,24,30.67,,,,16,21.69,30
"Inspectors and testers, mineral and metal processing",21,27.68,37.4,,,,,,,,,,,,,,,,,,,15,21.01,29.9,,,,,,,,,,16.3,22,34.68
Metalworking and forging machine operators,16.8,25,35,17,25,33.5,14.8,18.4,25,14.24,21,42,,,,,,,14.24,21,42,15,19,27.4,,,,18.5,24.5,32,,,,15,19.25,27
Machining tool operators,20,27.69,42,16,20,37.5,16,22,31.85,,,,,,,,,,,,,17,21.5,30,,,,,,,,,,17,21,29
Other metal products machine operators,17,19,33.9,14.6,21,30,15.3,20,29,,,,,,,,,,,,,15.5,20,33.65,,,,,,,,,,13.35,16.25,21
Chemical plant machine operators,22.5,30,48.32,14.6,21.25,24,12,18.64,26.6,,,,,,,,,,,,,14.25,22,30,12.85,19.71,23,,,,,,,13.1,23.3,34
Plastics processing machine operators,16.5,20.12,43.27,14.6,16.64,26,12.79,16.5,25,13,17,26.2,,,,,,,14,19.19,26.2,14.25,19.18,25.75,,,,,,,,,,13.1,19,23.5
Rubber processing machine operators and related workers,17.99,27.65,36.69,18,21.79,27.5,,,,,,,,,,,,,14,25,31.3,17,21.97,35.64,,,,,,,,,,13.95,20,27.05
Sawmill machine operators,24.04,29,33.81,15,29,38,,,,15,17.73,23.57,,,,,,,15,17.73,23.57,15,24,27.69,,,,,,,,,,15,21.8,26.5
Pulp mill machine operators,23,45,50,25,34,43,,,,14.5,30,37.3,,,,,,,,,,,,,,,,,,,,,,14,26.5,36
Papermaking and finishing machine operators,,,,19,30.8,40,,,,23.08,30,40,,,,,,,,,,15,19.5,28.29,,,,,,,,,,16,30,38
Other wood processing machine operators,18,29.13,29.5,18.5,31,34,,,,11.7,20,21.21,,,,,,,12.55,20,24,15,18,25,,,,,,,,,,15,21.5,26.48
Paper converting machine operators,,,,,,,14.5,19,23,14.5,22.53,32.8,,,,,,,12.75,21.85,32.4,17,24.43,31.5,,,,,,,,,,13.1,19.5,28
Lumber graders and other wood processing inspectors and graders,24.99,34.95,36.12,18.5,30.54,35,,,,18,20.67,28.21,,,,,,,,,,15.85,20.03,30.91,,,,,,,,,,13.1,20,28.99
Woodworking machine operators,18.13,21,25.13,15,21,31.51,14,19,24,13.33,17,29,,,,,,,,,,15,18.5,27,,,,,,,,,,13.1,19,24.2
"Textile fibre and yarn, hide and pelt processing machine operators and workers",15,17.5,20,14.6,17.9,24.56,,,,,,,,,,,,,,,,14.25,15,25.3,,,,,,,,,,13.1,16.6,22.72
"Weavers, knitters and other fabric making occupations",,,,,,,,,,,,,,,,,,,,,,14.25,15.99,19.81,,,,,,,,,,13.1,16.41,23.16
"Fabric, fur and leather cutters",,,,,,,,,,,,,,,,,,,,,,14.25,16.85,22,,,,,,,,,,13.1,16,21.34
Industrial sewing machine operators,15,15,22,14.6,16,21.63,11.9,11.9,16.75,,,,,,,,,,12.55,15,20,14.25,15,21.63,,,,11.45,15,19.71,,,,13.1,13.1,22.3
"Inspectors and graders, textile, fabric, fur and leather products manufacturing",,,,14.6,14.6,19,,,,,,,,,,,,,,,,14.25,14.5,20.55,,,,,,,,,,13.1,14.67,21.85
"Process control and machine operators, food, beverage and associated products processing",17,23,34.79,14.6,17,27,13,17,25.48,11.7,15.05,21,12.15,18,28,,,,12.55,14,22,14.25,18.52,28.03,13,17.25,22,12.25,24.04,36,,,,13.1,18.5,29
"Industrial butchers and meat cutters, poultry preparers and related workers",17,20,25,15,20,23.75,15,18.05,21,,,,13,19.45,20.87,,,,,,,14.25,18,23.44,14,16,18,15,18.76,29,,,,14.5,19.8,21.5
Fish and seafood plant workers,,,,14.6,16,20.61,13.5,18,20,12.5,14,16,13.25,14.7,16.67,,,,12.55,13.5,17,14.25,20,30,12.98,13.25,15,,,,,,,13.19,15.16,17.05
"Testers and graders, food, beverage and associated products processing",,,,14.6,20,35.76,17,19.35,25,14,17.06,22.6,,,,,,,13,18.56,26,15,22.5,43.27,12.85,15.05,19.1,,,,,,,15.75,23,29.3
Plateless printing equipment operators,15.24,18.88,31,,,,14.5,18,28,,,,,,,,,,,,,14.25,18.32,30,,,,,,,,,,17,25,27.06
"Camera, platemaking and other prepress occupations",20,28.26,31.63,15.38,21.68,34.71,,,,,,,,,,,,,,,,15.41,24.61,37.95,,,,,,,,,,13.1,17.5,26.55
Binding and finishing machine operators,15,19.27,30.69,14.6,19.42,30.84,11.9,15.5,21.2,,,,,,,,,,,,,14.25,17.5,25,,,,,,,,,,13.1,20.4,24.41
Photographic and film processors,,,,,,,,,,,,,,,,,,,,,,14.25,16.85,29,,,,,,,,,,13.1,16.25,33.01
Aircraft assemblers and aircraft assembly inspectors,,,,,,,20.5,28,34,,,,,,,,,,14.63,24,40.87,18.8,28,38.9,19,22,27,,,,,,,17.5,35,40
"Motor vehicle assemblers, inspectors and testers",15,24.36,40.71,14.6,20.92,32.9,23,25,29,,,,,,,,,,,,,17,24.95,35,,,,,,,,,,19.57,21.63,26
"Electronics assemblers, fabricators, inspectors and testers",15,18.48,29.27,15.5,17.5,21.35,11.9,14.75,29.5,,,,,,,,,,14,17.5,22.5,14.25,18,35,,,,18,22,36.06,,,,13.1,16.5,29.5
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",15,19.46,28.86,14.6,20.38,41.12,,,,,,,,,,,,,,,,16,17.66,27,,,,,,,,,,14.87,20.5,27.83
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",17.5,22.37,39.8,15,20,35,13.1,16.01,23,,,,,,,,,,,,,14.5,20,27,,,,,,,,,,14,18.39,29.81
Mechanical assemblers and inspectors,18,21,40,17,27,31.5,14.25,20,27.88,,,,,,,,,,,,,15,23,30.9,,,,17,23,29.65,,,,15.1,19.15,28.38
"Machine operators and inspectors, electrical apparatus manufacturing",15,20.7,30,14.6,18.8,28,,,,,,,,,,,,,,,,14.55,18,24.85,,,,,,,,,,13.1,17.82,26.39
Boat assemblers and inspectors,,,,14.6,24.18,42.87,,,,,,,,,,,,,12.55,21.71,38.28,14.25,18.25,32.8,,,,,,,,,,15.05,19.18,25.57
Furniture and fixture assemblers and inspectors,17,20,35,14.6,18.4,25,12.5,15.91,19.65,12.75,16,27,,,,,,,,,,14.5,18.5,25.64,,,,11.45,20,25,,,,14,17.75,23.25
Other wood products assemblers and inspectors,17,21,30,16,19.25,25.5,12,15.48,21.5,14,16,31,13.5,16.8,20.37,,,,14,17,27,14.25,18,28,,,,15,18.7,25.21,,,,13.1,16.83,22
Furniture finishers and refinishers,15,21.66,31.39,15.5,20,27,,,,,,,,,,,,,,,,15,17,20,,,,,,,,,,13.1,17,21.15
"Plastic products assemblers, finishers and inspectors",,,,14.6,19.3,30.44,13,17.21,24,15,18,26.3,,,,,,,13.8,18,25.5,14.25,20,25,,,,,,,,,,13.24,17,24
"Industrial painters, coaters and metal finishing process operators",19,26,34,16.5,27,42,17,22,29,14.82,20,23.6,14.19,30,65,,,,15.65,24.56,34,16,20.53,32.75,,,,16.5,24,30.75,,,,15,21,27
"Other products assemblers, finishers and inspectors",15.5,20,31,14.6,16,31.46,13.15,18.5,27,13.88,16.5,30,14,17.17,25,,,,14,17.17,25,14.25,17.5,30,,,,,,,,,,13.1,16.83,24.06
Labourers in mineral and metal processing,17.87,23,33.24,15,22,35.21,14.5,21.5,34.5,14,21.71,28,15,22.5,33.62,,,,14,18.3,32.54,15,20.17,30,,,,15,24,37.22,,,,15,20.92,40.25
Labourers in metal fabrication,18,23.2,32.29,16,21,30,12.8,18,25.67,12,16,22,,,,,,,12.55,17.29,22.6,14.25,17.78,26,14,17.75,26,14.75,20,31,,,,14,16,23
Labourers in chemical products processing and utilities,18,25,33.61,15.73,21.22,34.29,13.89,18,25,13.65,18.18,27.85,13,22.91,30.21,,,,12.73,20.47,33,15,20.25,35.12,,,,15,22.94,31.24,,,,14,19.34,32.89
"Labourers in wood, pulp and paper processing",15,23,31.5,15,28,32.66,12.99,15,25.97,13,17.95,22.5,,,,,,,,,,14.25,17.25,27.75,,,,,,,,,,13.1,19,30
Labourers in rubber and plastic products manufacturing,15,18,25.88,14.6,17.69,25.1,15,21,31,12.69,15,20,,,,,,,12.55,18.03,27,14.25,17,23,,,,,,,,,,13.1,17.4,22.5
Labourers in textile processing,,,,,,,,,,,,,,,,,,,,,,14.25,14.25,17,,,,,,,,,,13.1,15,21.07
"Labourers in food, beverage and associated products processing",15,19.9,25,14.6,16,27.16,12.3,16.65,20.67,11.75,15,18.25,12.15,16.29,21,,,,12.55,16.29,21,14.25,16.5,23,12.85,17.1,20,12.45,17,32.39,,,,13.1,15,21.68
Labourers in fish and seafood processing,,,,14.6,15,19.5,13.24,18,21.72,12.5,14.79,18,12.87,15,17.17,,,,12.55,14.86,18,14.25,16,23.8,12.9,13.9,17,,,,,,,13.1,15,17.35
"Other labourers in processing, manufacturing and utilities",15,18.5,26,14.6,15.85,28.98,11.9,15,19.65,12.5,15,19,12.15,15.84,24,,,,12.55,15,19,14.25,15,22.73,12.85,15,19,12.11,18,19,,,,13.1,15,22